,originalTitle,numVotes,startYear,averageRating
436312,CM101MMXI Fundamentals,44221,2013.0,9.2
144836,Soorarai Pottru,62010,2020.0,9.1
54918,The Dark Knight,2351602,2008.0,9.0
472,The Lord of the Rings: The Return of the King,1670252,2003.0,8.9
614610,Dag II,105922,2016.0,8.8
276441,Inception,2110186,2010.0,8.8
99,The Lord of the Rings: The Fellowship of the Ring,1691012,2001.0,8.8
473,The Lord of the Rings: The Two Towers,1510541,2002.0,8.7
662173,Gisaengchung,604246,2019.0,8.6
105576,Interstellar,1554804,2014.0,8.6
3721,Sen to Chihiro no kamikakushi,669324,2001.0,8.6
16566,Cidade de Deus,708623,2002.0,8.6
59388,The Prestige,1213717,2006.0,8.5
4613,The Pianist,747394,2002.0,8.5
733305,Hamilton,63986,2020.0,8.5
532,Gladiator,1364292,2000.0,8.5
37160,The Departed,1211342,2006.0,8.5
289933,Senna,65185,2010.0,8.5
331966,Intouchables,777218,2011.0,8.5
435788,Whiplash,737144,2014.0,8.5
