,originalTitle,averageRating
0,The Shawshank Redemption,9.3
1,The Dark Knight,9.0
2,Inception,8.8
3,Fight Club,8.8
4,Pulp Fiction,8.9
5,Forrest Gump,8.8
7,The Matrix,8.7
8,The Lord of the Rings: The Fellowship of the Ring,8.8
9,The Lord of the Rings: The Return of the King,8.9
10,The Godfather,9.2
11,Interstellar,8.6
12,The Dark Knight Rises,8.4
13,The Lord of the Rings: The Two Towers,8.7
15,Se7en,8.6
16,Django Unchained,8.4
17,Gladiator,8.5
18,Batman Begins,8.2
19,The Silence of the Lambs,8.6
