"","x"
"1",8.806570445
"2",11.56042529
"3",7.820594473
"4",11.20430462
"5",7.311328835
"6",6.694092385
"7",14.33158115
"8",7.317667132
"9",9.900397983
"10",8.400455062
"11",12.79855108
"12",8.060049435
"13",6.720443676
"14",7.368808831
"15",6.633637608
"16",9.801570885
"17",9.810014119
"18",11.71649895
"19",9.525637537
"20",10.99543312
"21",8.931144251
"22",8.56498942
"23",10.41690857
"24",9.410599026
"25",7.041422781
"26",7.620162583
"27",8.905135309
"28",10.15892323
"29",9.934711185
"30",8.518102601
"31",8.149159962
"32",8.42553217
"33",10.64896092
"34",9.615867187
"35",9.400901775
"36",12.41862714
"37",11.44493441
"38",7.091529053
"39",10.74962806
"40",12.25853803
"41",7.14325632
"42",14.2171151
"43",6.53428611
"44",12.28824757
"45",8.055529112
"46",8.16594162
"47",12.41318823
"48",9.807462785
"49",11.02252965
"50",8.553267668
"51",9.565775661
"52",10.36583508
"53",7.709710828
"54",8.526462988
"55",13.98995947
"56",10.23392323
"57",8.000044691
"58",10.01590736
"59",13.36128203
"60",6.449934463
"61",12.82074332
"62",8.582523854
"63",10.6439646
"64",6.666718873
"65",8.485634292
"66",8.300077535
"67",7.082391317
"68",5.943367005
"69",11.18796028
"70",12.91387065
"71",12.56155317
"72",8.470064996
"73",10.40019604
"74",12.13391614
"75",7.319667553
"76",11.35099958
"77",8.50748253
"78",10.7410055
"79",11.84279504
"80",9.661457425
"81",8.154978691
"82",8.264616522
"83",13.23700513
"84",11.74849012
"85",11.26563129
"86",7.613925862
"87",8.195524136
"88",8.370785407
"89",12.27949111
"90",9.494851246
"91",6.869277188
"92",10.17234717
"93",9.829588902
"94",11.78348604
"95",7.320458609
"96",10.77787569
"97",6.560399543
"98",8.281354957
"99",9.368394593
"100",6.183610986
"101",5.524459372
"102",6.481803749
"103",9.187771761
"104",8.550662014
"105",9.377912053
"106",9.902261525
"107",11.24747412
"108",10.62561833
"109",10.90691075
"110",10.19409729
"111",5.984177908
"112",12.67793829
"113",6.62314759
"114",9.398769683
"115",9.276342846
"116",8.264933742
"117",10.04663361
"118",11.65419792
"119",7.482579779
"120",11.79787015
"121",10.19312912
"122",10.76667037
"123",10.24816984
"124",10.1495819
"125",8.679732717
"126",10.70757319
"127",9.606362593
"128",9.688000028
"129",6.617640253
"130",13.00119944
"131",12.33600648
"132",10.1217898
"133",10.85143644
"134",8.629047947
"135",9.838319231
"136",6.1763699
"137",9.303070366
"138",10.3398944
"139",9.769969555
"140",12.17007826
"141",9.811637811
"142",9.891817324
"143",12.50811767
"144",9.730094232
"145",10.18562028
"146",12.22810755
"147",8.016877054
"148",9.979537183
"149",10.7110963
"150",12.41262056
"151",6.441358728
"152",5.905864036
"153",10.57129844
"154",9.528845359
"155",8.489722437
"156",5.874306653
"157",10.53203881
"158",7.718683837
"159",10.21347166
"160",12.32932676
"161",10.16624847
"162",7.2474807
"163",10.23015689
"164",10.21511586
"165",12.42020802
"166",10.05929733
"167",10.23891125
"168",7.682573239
"169",9.991991565
"170",13.36726446
"171",9.32891929
"172",5.315912469
"173",8.947780754
"174",9.986098496
"175",10.32562919
"176",9.10125804
"177",7.842224086
"178",13.21983996
"179",6.318998516
"180",8.717014906
"181",6.266244312
"182",10.13428626
"183",12.23468414
"184",11.72271126
"185",7.196417947
"186",5.693754039
"187",6.479312788
"188",10.59497425
"189",5.794547788
"190",11.23678706
"191",10.21168076
"192",10.89627922
"193",8.805438903
"194",15.07418564
"195",11.05547162
"196",8.621895609
"197",7.069699487
"198",12.11493331
"199",12.39295263
"200",8.321730479
"201",10.00344661
"202",9.880746349
"203",10.93090814
"204",8.218941167
"205",6.809406538
"206",10.9004689
"207",8.979044002
"208",11.13637633
"209",10.86321339
"210",10.38694541
"211",7.613264878
"212",8.429824806
"213",9.289175002
"214",9.031582569
"215",11.15947194
"216",12.62575821
"217",8.862594916
"218",7.074073527
"219",5.744243816
"220",7.169414977
"221",12.53793607
"222",8.465414786
"223",11.58809765
"224",5.87278741
"225",9.877051701
"226",12.61670317
"227",6.065842801
"228",8.200684435
"229",9.404770788
"230",9.501401891
"231",11.77856811
"232",8.173838888
"233",11.55036776
"234",6.894815128
"235",9.65570359
"236",14.38731787
"237",9.44174371
"238",9.017790351
"239",10.13905515
"240",11.95901102
"241",13.4985632
"242",8.970878207
"243",8.996669176
"244",7.695241393
"245",10.03091985
"246",12.14058763
"247",9.506639727
"248",10.7881036
"249",11.67405355
"250",8.491423512
"251",6.100289092
"252",9.483548197
"253",11.71904279
"254",7.241535469
"255",5.0619079
"256",11.444154
"257",10.6535171
"258",10.18852127
"259",8.91168434
"260",12.03085687
"261",10.46050706
"262",7.681214697
"263",10.2681323
"264",7.984519863
"265",9.921836806
"266",10.79143179
"267",9.603722634
"268",7.153841712
"269",10.83671529
"270",9.142967641
"271",11.25360924
"272",8.594868157
"273",11.61206792
"274",6.871684601
"275",13.3417396
"276",11.79589391
"277",6.454908601
"278",10.47135733
"279",11.2428545
"280",9.131350551
"281",12.1549478
"282",10.92774842
"283",9.938192453
"284",12.85024174
"285",11.85553895
"286",10.43968139
"287",8.136904616
"288",8.010444443
"289",7.864087314
"290",8.742541677
"291",9.300033632
"292",10.30458639
"293",12.15581724
"294",9.436035019
"295",9.954309403
"296",8.831408773
"297",12.20817666
"298",11.53069748
"299",8.011218123
"300",8.200634272
"301",10.11244503
"302",9.028012145
"303",8.185853033
"304",7.898787495
"305",9.453028654
"306",8.469640037
"307",8.251299716
"308",10.44985525
"309",9.018091591
"310",10.78018072
"311",8.749167742
"312",13.14095811
"313",7.692155774
"314",8.747578955
"315",10.1331434
"316",7.961169813
"317",8.326878863
"318",11.85048155
"319",6.936983244
"320",6.994843964
"321",8.209173322
"322",9.163703673
"323",9.566643078
